op,arm,analog,struct_seed,damage_seed,transition_midpoint,bracket_flag,n_transition,phase,pristine_Q_ysz,n_secondary,retained_P_span_at_nsec,seconds,phi_ni_post,phi_ysz_post,ni_P_span,ni_P_reach,ni_P_largest,ni_n_clusters,ysz_P_span,ysz_P_largest,ysz_n_clusters,tpb_um2,ni_vol_loss_frac,ysz_vol_loss_frac
O1,main,fine,3,301,8.5,ok,9,Ni,0.0006677270467200236,10,0.0,8.6,0.08316787201402585,0.420928117466579,0.0,0.0,1.0,1,0.99933227295328,0.99933227295328,279,0.13879757469501058,0.7424930999794739,0.0
O1,main,fine,3,302,8.5,ok,9,Ni,0.0006677270467200236,10,0.0,8.4,0.0827394258163489,0.420928117466579,0.0,1.0,1.0,1,0.99933227295328,0.99933227295328,279,0.1365147198480532,0.7438196681543908,0.0
O1,main,fine,4,300,8.5,ok,9,Ni,0.0009741397556582987,10,0.0,8.6,0.08207447585652713,0.42107239389290674,0.0,1.0,1.0,1,0.9990258602443417,0.9990258602443417,251,0.12053473591935131,0.7443393145851751,0.0
O1,main,fine,4,301,8.5,ok,9,Ni,0.0009741397556582987,10,0.0,8.5,0.08223464095258967,0.42107239389290674,0.0,0.0,1.0,1,0.9990258602443417,0.9990258602443417,251,0.13514500693987871,0.7438404028612615,0.0
O1,main,fine,4,302,9.5,ok,10,Ni,0.0009741397556582987,10,0.0,8.7,0.05713839579224195,0.42107239389290674,0.0,0.0,1.0,1,0.9990258602443417,0.9990258602443417,251,0.018262838775659287,0.8220148069262828,0.0
O1,main,medium,0,300,8.5,ok,9,Ni,0.011721292912778125,10,0.0,9.9,0.07505027471266126,0.3879062150870051,0.0,0.0,1.0,1,0.9882787070872219,0.9882787070872219,215,0.08953031021869884,0.699739713924111,0.0
O1,main,medium,0,301,8.5,ok,9,Ni,0.011721292912778125,10,0.0,9.9,0.075023339097963,0.3879062150870051,0.0,1.0,1.0,1,0.9882787070872219,0.9882787070872219,215,0.0814955387888156,0.6998474776252555,0.0
O1,main,medium,0,302,9.5,ok,10,Ni,0.011721292912778125,10,0.0,9.8,0.05716931176443581,0.3879062150870051,0.0,0.0,1.0,1,0.9882787070872219,0.9882787070872219,215,0.014921718369783137,0.7712776672587547,0.0
O1,main,medium,1,300,8.5,ok,9,Ni,0.00991575102121467,10,0.0,9.8,0.0744419277329701,0.3880352305596792,0.0,0.0,1.0,1,0.9900842489787853,0.9900842489787853,184,0.07919988980884896,0.7016445368878377,0.0
O1,main,medium,1,301,8.5,ok,9,Ni,0.00991575102121467,10,0.0,9.8,0.07310739045928284,0.3880352305596792,0.0,0.0,1.0,1,0.9900842489787853,0.9900842489787853,184,0.08455640409543778,0.7069932227488442,0.0
O1,main,medium,1,302,8.5,ok,9,Ni,0.00991575102121467,10,0.0,9.8,0.07354249246261918,0.3880352305596792,0.0,1.0,1.0,1,0.9900842489787853,0.9900842489787853,184,0.09029552654535437,0.7052493794113623,0.0
O1,main,medium,2,300,8.5,ok,9,Ni,0.009549881992124365,10,0.0,10.5,0.07429393489539493,0.38802956795886195,0.0,0.0,1.0,1,0.9904501180078756,0.9904501180078756,238,0.0857042285854211,0.7020179791971666,0.0
O1,main,medium,2,301,8.5,ok,9,Ni,0.009549881992124365,10,0.0,10.3,0.07240430969835172,0.38802956795886195,0.0,1.0,1.0,1,0.9904501180078756,0.9904501180078756,238,0.0899129183820266,0.7095969873028443,0.0
O1,main,medium,2,302,9.5,ok,10,Ni,0.009549881992124365,10,0.0,11.7,0.05622304525489356,0.38802956795886195,0.0,0.0,1.0,1,0.9904501180078756,0.9904501180078756,238,0.01109563673650541,0.7744976536196255,0.0
O1,main,medium,3,300,8.5,ok,9,Ni,0.008993164784477314,10,0.0,11.4,0.07381230773939793,0.38793621156700997,0.0,0.0,1.0,1,0.9910068352155227,0.9910068352155227,209,0.09794768981190982,0.7034011605739405,0.0
O1,main,medium,3,301,8.5,ok,9,Ni,0.008993164784477314,10,0.0,13.5,0.07431520790927595,0.38793621156700997,0.0,0.0,1.0,1,0.9910068352155227,0.9910068352155227,209,0.0799651061355045,0.7013803647026122,0.0
O1,main,medium,3,302,9.5,ok,10,Ni,0.008993164784477314,10,0.0,10.6,0.05692735036194732,0.38793621156700997,0.0,0.0,1.0,1,0.9910068352155227,0.9910068352155227,209,0.010330420409849864,0.7712497201880336,0.0
O1,main,medium,4,300,8.5,ok,9,Ni,0.0146899672412113,10,0.0,10.6,0.07334093448217811,0.38790147074577985,0.0,0.0,1.0,1,0.9853100327587887,0.9853100327587887,232,0.06886946939899909,0.7061539914302042,0.0
O1,main,medium,4,301,8.5,ok,9,Ni,0.0146899672412113,10,0.0,10.5,0.07378935124959826,0.38790147074577985,0.0,1.0,1.0,1,0.9853100327587887,0.9853100327587887,232,0.07039990205231018,0.7043573756901335,0.0
O1,main,medium,4,302,8.5,ok,9,Ni,0.0146899672412113,10,0.0,10.7,0.07357493763486937,0.38790147074577985,0.0,1.0,1.0,1,0.9853100327587887,0.9853100327587887,232,0.08417379593211,0.7052164400764267,0.0
O1,main,coarse,0,300,8.5,ok,9,Ni,0.07180773557658648,10,0.0,9.9,0.08672754477539148,0.3840560589652076,0.0,1.0,1.0,1,0.9281922644234135,0.9281922644234135,149,0.0640898984315795,0.6208110729216573,0.0
O1,main,coarse,0,301,8.5,ok,9,Ni,0.07180773557658648,10,0.0,9.5,0.08679272889160115,0.3840560589652076,0.0,0.0,1.0,1,0.9281922644234135,0.9281922644234135,149,0.0746412841489737,0.6205260758638931,0.0
O1,main,coarse,0,302,8.5,ok,9,Ni,0.07180773557658648,10,0.0,9.4,0.08631533730669862,0.3840560589652076,0.0,1.0,1.0,1,0.9281922644234135,0.9281922644234135,149,0.07229653176733053,0.6226133205027704,0.0
O1,main,coarse,1,300,8.5,ok,9,Ni,0.0676777586894749,10,0.0,9.5,0.08691762603513002,0.3839797763543915,0.0,1.0,1.0,1,0.9323222413105251,0.9323222413105251,136,0.07034257144929458,0.6223055301586353,0.0
O1,main,coarse,1,301,8.5,ok,9,Ni,0.0676777586894749,10,0.0,9.8,0.08657044636582138,0.3839797763543915,0.0,0.0,1.0,1,0.9323222413105251,0.9323222413105251,136,0.07659524446700965,0.62381417514954,0.0
O1,main,coarse,1,302,9.5,ok,10,Ni,0.0676777586894749,10,0.0,9.5,0.07127515762988677,0.3839797763543915,0.0,0.0,1.0,1,0.9323222413105251,0.9323222413105251,136,0.006643465081322265,0.6902787834656312,0.0
O1,main,coarse,2,300,9.5,ok,10,Ni,0.09165546889978837,10,0.0,9.6,0.06852335623479038,0.3840065065315422,0.0,0.0,1.0,1,0.9083445311002116,0.9083445311002116,105,0.004689504763286305,0.6996067961630761,0.0
O1,main,coarse,2,301,8.5,ok,9,Ni,0.09165546889978837,10,0.0,9.5,0.08306894947590095,0.3840065065315422,0.0,0.0,1.0,1,0.9083445311002116,0.9083445311002116,105,0.06565306668600826,0.6358417152403834,0.0
O1,main,coarse,2,302,8.5,ok,9,Ni,0.09165546889978837,10,0.0,9.5,0.08284869906885194,0.3840065065315422,0.0,1.0,1.0,1,0.9083445311002116,0.9083445311002116,105,0.06096356192272197,0.636807250629414,0.0
O1,main,coarse,3,300,8.5,ok,9,Ni,0.03163050896708508,10,0.0,9.5,0.08558236771219696,0.3840943565874411,0.0,1.0,1.0,1,0.9683694910329149,0.9683694910329149,133,0.07854920478504561,0.626328257930303,0.0
O1,main,coarse,3,301,8.5,ok,9,Ni,0.03163050896708508,10,0.0,9.5,0.08527911307083778,0.3840943565874411,0.0,0.0,1.0,1,0.9683694910329149,0.9683694910329149,133,0.059009601604686,0.6276523354611852,0.0
O1,main,coarse,3,302,8.5,ok,9,Ni,0.03163050896708508,10,0.0,9.4,0.08537024578007098,0.3840943565874411,0.0,0.0,1.0,1,0.9683694910329149,0.9683694910329149,133,0.06252673017715074,0.6272544296877293,0.0
O1,main,coarse,4,300,8.5,ok,9,Ni,0.06061814945952837,10,0.0,9.4,0.0848683124535739,0.3840013480763026,0.0,1.0,1.0,1,0.9393818505404716,0.9393818505404716,200,0.06526227462240107,0.629427013656443,0.0
O1,main,coarse,4,301,8.5,ok,9,Ni,0.06061814945952837,10,0.0,9.3,0.0845008115969577,0.3840013480763026,0.0,0.0,1.0,1,0.9393818505404716,0.9393818505404716,200,0.05822801747747162,0.6310316866608059,0.0
O1,main,coarse,4,302,8.5,ok,9,Ni,0.06061814945952837,10,0.0,9.2,0.0851789139857289,0.3840013480763026,0.0,0.0,1.0,1,0.9393818505404716,0.9393818505404716,200,0.06252673017715074,0.6280707885353587,0.0
