anode,roi,damage_seed,threshold,transition,flag,pristine_P_span,spec_surface,mincut_frac,n_nodes,n_edges,R_Ni_at_tr,vol_loss,tpb_pristine,tpb_at_tr
coarse,1,301,0.5,9.5,ok,0.9528360204536408,0.1324748610511012,0.006263048016701462,258,479,0.0,0.460633942655866,1.4685099708030782,0.00261978749251279
coarse,1,301,0.1,9.5,ok,0.9528360204536408,0.1324748610511012,0.006263048016701462,258,479,0.0,0.460633942655866,1.4685099708030782,0.00261978749251279
coarse,1,302,0.5,9.5,ok,0.9528360204536408,0.1324748610511012,0.006263048016701462,258,479,0.0,0.4668663720417011,1.4685099708030782,0.0030620892769630008
coarse,1,302,0.1,9.5,ok,0.9528360204536408,0.1324748610511012,0.006263048016701462,258,479,0.0,0.4668663720417011,1.4685099708030782,0.0030620892769630008
coarse,2,300,0.5,9.5,ok,0.915700676724847,0.13498232637251723,0.006700167504187605,299,597,0.0,0.46714539383817233,1.5519008687790374,0.002977031241491807
coarse,2,300,0.1,9.5,ok,0.915700676724847,0.13498232637251723,0.006700167504187605,299,597,0.0,0.46714539383817233,1.5519008687790374,0.002977031241491807
coarse,2,301,0.5,9.5,ok,0.915700676724847,0.13498232637251723,0.006700167504187605,299,597,0.0,0.46736305866199623,1.5519008687790374,0.0027899035634551786
coarse,2,301,0.1,9.5,ok,0.915700676724847,0.13498232637251723,0.006700167504187605,299,597,0.0,0.46736305866199623,1.5519008687790374,0.0027899035634551786
coarse,2,302,0.5,8.5,ok,0.915700676724847,0.13498232637251723,0.006700167504187605,299,597,0.0,0.43197370414796243,1.5519008687790374,0.018559663339814635
coarse,2,302,0.1,8.5,ok,0.915700676724847,0.13498232637251723,0.006700167504187605,299,597,0.0,0.43197370414796243,1.5519008687790374,0.018559663339814635
