sample,anode,state,slab,x_um,phi_ni,phi_ysz,phi_ni_conn
medium_pre,medium,pristine,40,19.7721,0.23306793678924825,0.37200287992910946,0.22982491507901345
medium_pre,medium,pristine,41,20.2603,0.21586959090237778,0.40165839610101906,0.21276783340717767
medium_pre,medium,pristine,42,20.7485,0.22733503175306455,0.4314658839167036,0.22098301580268792
medium_pre,medium,pristine,43,21.2367,0.22087313543051248,0.4397071333628711,0.20980313099985232
medium_pre,medium,pristine,44,21.7249,0.20607391818047555,0.448592157731502,0.19558440407620736
medium_pre,medium,pristine,45,22.213099999999997,0.21471961305567863,0.43659356077388867,0.19801639344262295
medium_pre,medium,pristine,46,22.7013,0.25065714074730466,0.41762797223452963,0.22108344409983754
medium_pre,medium,pristine,47,23.1895,0.26393715846994537,0.38777411017574953,0.2151688081524147
coarse_pre,coarse,pristine,0,0.24769,0.16705448290076347,0.4504037658594991,0.13306603144916548
coarse_pre,coarse,pristine,1,0.74307,0.1733104321474532,0.422175113777636,0.1477509753669324
coarse_pre,coarse,pristine,2,1.23845,0.20991691628922862,0.4031772163606742,0.18495493320457107
coarse_pre,coarse,pristine,3,1.73383,0.25987902682523073,0.38396975251862064,0.23959669296534125
coarse_pre,coarse,pristine,4,2.22921,0.27108646080725496,0.3643307748386284,0.25735430672659065
coarse_pre,coarse,pristine,5,2.72459,0.2594841097305096,0.38286174515120464,0.2527218144993019
coarse_pre,coarse,pristine,6,3.2199700000000004,0.24642480771233577,0.3806735876388218,0.24039954539926137
coarse_pre,coarse,pristine,7,3.71535,0.22596049153977976,0.3710898837862226,0.21933466028390333
coarse_pre,coarse,pristine,8,4.210730000000001,0.1982753284057002,0.39343993363790564,0.18955756540256782
coarse_pre,coarse,pristine,9,4.70611,0.18958205426805422,0.3893734164170441,0.18122625308341217
coarse_pre,coarse,pristine,10,5.20149,0.20278774325909837,0.3800414289699091,0.1955914761997359
coarse_pre,coarse,pristine,11,5.69687,0.2199136535348084,0.3909326015441277,0.2120614672344442
coarse_pre,coarse,pristine,12,6.19225,0.2489300459625963,0.39542107375208746,0.2408315144205734
coarse_pre,coarse,pristine,13,6.68763,0.26869674809715144,0.3840250117801457,0.2595670441411345
coarse_pre,coarse,pristine,14,7.18301,0.2653198336869198,0.3892445084857105,0.2553616959914003
coarse_pre,coarse,pristine,15,7.67839,0.2562890865962698,0.404202926574188,0.2491011038743024
coarse_pre,coarse,pristine,16,8.173770000000001,0.21688240537830109,0.41793826693846575,0.2145795416558333
coarse_pre,coarse,pristine,17,8.66915,0.19316188942612667,0.4087114268505753,0.19043169955275502
coarse_pre,coarse,pristine,18,9.164530000000001,0.22070658297118945,0.3462237623199932,0.21862994538527813
coarse_pre,coarse,pristine,19,9.65991,0.27910114757190624,0.262617318962648,0.27644524362506584
coarse_pre,coarse,pristine,20,10.15529,0.35107920336355025,0.17971331458706127,0.3487674180469647
coarse_pre,coarse,pristine,21,10.65067,0.3790017901451707,0.14224999326328608,0.3761497932010898
coarse_pre,coarse,pristine,22,11.14605,0.3722571560288492,0.1533054870352851,0.3680833976052256
coarse_pre,coarse,pristine,23,11.64143,0.33933492611099336,0.21944426844020676,0.33547224000471937
coarse_pre,coarse,pristine,24,12.136809999999999,0.2913701602172645,0.2856741775564737,0.28659027961368405
coarse_pre,coarse,pristine,25,12.632190000000001,0.2699399449264533,0.327148301656212,0.26048077924480345
coarse_pre,coarse,pristine,26,13.12757,0.2515646473275638,0.34371506467609514,0.24028156186888824
coarse_pre,coarse,pristine,27,13.622950000000001,0.23489701567214563,0.3743625612039564,0.22216899611309815
coarse_pre,coarse,pristine,28,14.11833,0.2293780083069145,0.3788486664583747,0.21870823692549485
coarse_pre,coarse,pristine,29,14.613710000000001,0.21359288617575323,0.38689630849925677,0.20528032741157973
coarse_pre,coarse,pristine,30,15.10909,0.20314797538077,0.3724834732020803,0.1921555700243177
coarse_pre,coarse,pristine,31,15.604470000000001,0.1982837037797699,0.3953132863292775,0.18530032634827137
coarse_pre,coarse,pristine,32,16.09985,0.18545499765853674,0.4222634193520665,0.17511487007609938
coarse_pre,coarse,pristine,33,16.59523,0.19881417448307556,0.39997472821911145,0.18852657506192314
coarse_pre,coarse,pristine,34,17.09061,0.19505636262602208,0.39528770502369504,0.18162162536150664
coarse_pre,coarse,pristine,35,17.585990000000002,0.15338705589578996,0.43676729132391356,0.1367716792916327
coarse_pre,coarse,pristine,36,18.08137,0.13519182883939893,0.45529298150935893,0.11472705748346956
coarse_pre,coarse,pristine,37,18.57675,0.15270555534920577,0.47899401561315386,0.12405176199663091
coarse_pre,coarse,pristine,38,19.07213,0.16160921524201555,0.4932867735364398,0.12938214137194454
coarse_pre,coarse,pristine,39,19.567510000000002,0.15770474330206768,0.5156684131142335,0.12128042354630818
coarse_pre,coarse,pristine,40,20.06289,0.16663170858359316,0.5356265653756209,0.12312236858491865
coarse_pre,coarse,pristine,41,20.55827,0.21028934732530608,0.5243954618581823,0.14814161373794402
coarse_pre,coarse,pristine,42,21.05365,0.23334429414896368,0.4981188181546065,0.1751959837532309
fine_post,fine,degraded,0,0.25389,0.23685966961455032,0.2951567098820552,0.13730737486114042
fine_post,fine,degraded,1,0.7616700000000001,0.20959243962831295,0.34747749266673617,0.1336138749116461
fine_post,fine,degraded,2,1.26945,0.18986409932958517,0.3325955237675526,0.12178914616071691
fine_post,fine,degraded,3,1.77723,0.2130587571824612,0.338588243742793,0.14621700000211216
fine_post,fine,degraded,4,2.28501,0.21750543169065822,0.31746984785799365,0.15535647881078435
fine_post,fine,degraded,5,2.79279,0.2031491443417668,0.3425322220674679,0.14019390206916757
fine_post,fine,degraded,6,3.30057,0.1789991028252246,0.3361166334662716,0.11147405902567639
fine_post,fine,degraded,7,3.8083500000000003,0.16973059534957574,0.3200673185482343,0.10898188616428772
fine_post,fine,degraded,8,4.31613,0.21271223724774957,0.3098875344640726,0.1445447213856722
fine_post,fine,degraded,9,4.82391,0.22962499436237288,0.3081928295843786,0.17111040070452013
fine_post,fine,degraded,10,5.331690000000001,0.2653061110387038,0.30132834298242467,0.2107712783305517
fine_post,fine,degraded,11,5.83947,0.29912156140466184,0.2774428195515766,0.23084918257202278
fine_post,fine,degraded,12,6.34725,0.3011447706613288,0.2837387600003429,0.2302287019144574
fine_post,fine,degraded,13,6.855030000000001,0.26274131684284435,0.3176967817628882,0.20249430987927217
fine_post,fine,degraded,14,7.3628100000000005,0.22361947712887673,0.3134246096743048,0.1684468315541624
fine_post,fine,degraded,15,7.87059,0.22859003163159203,0.29967271322623973,0.17042146092754776
fine_post,fine,degraded,16,8.37837,0.23879864060813566,0.3181491586299678,0.17642909032988224
fine_post,fine,degraded,17,8.886149999999999,0.22461201011505233,0.3299244377810349,0.1691829845169327
fine_post,fine,degraded,18,9.393930000000001,0.19714194979772257,0.3410599161419273,0.15684033954232282
fine_post,fine,degraded,19,9.901710000000001,0.1880070059397915,0.3223062175168622,0.14258102559215585
fine_post,fine,degraded,20,10.40949,0.19294295814712598,0.3084593977162982,0.1386903484693423
fine_post,fine,degraded,21,10.91727,0.16576412863903395,0.30868086483125823,0.11816534778288743
fine_post,fine,degraded,22,11.42505,0.15886578521305386,0.35579533779729866,0.10832264099627774
fine_post,fine,degraded,23,11.93283,0.17894375157713782,0.34945410996373405,0.11422590440895365
fine_post,fine,degraded,24,12.440610000000001,0.2045653535478659,0.3111178728123988,0.13177392736301063
fine_post,fine,degraded,25,12.948390000000002,0.25355766885640596,0.3064672497660773,0.16894194877891172
fine_post,fine,degraded,26,13.45617,0.22933252110087732,0.292938125007843,0.15987055635396918
fine_post,fine,degraded,27,13.96395,0.22126801198568843,0.3014710386242376,0.1606522451919893
fine_post,fine,degraded,28,14.47173,0.2369926120061392,0.30540060450272155,0.1866515526491008
fine_post,fine,degraded,29,14.97951,0.22388821955224755,0.3336470111133627,0.17132938291496447
fine_post,fine,degraded,30,15.487290000000002,0.23219966605368214,0.3196013989515442,0.14217393610987453
fine_post,fine,degraded,31,15.995070000000002,0.22825109065565324,0.29476744958967394,0.12120991491811184
fine_post,fine,degraded,32,16.502850000000002,0.18933549801648708,0.29538917269949716,0.10021756581487039
fine_post,fine,degraded,33,17.010630000000003,0.17919839216738218,0.30555261853646826,0.10005902890676999
fine_post,fine,degraded,34,17.51841,0.2016606244142614,0.3298554816807248,0.12030373236385612
fine_post,fine,degraded,35,18.026190000000003,0.21826171238000552,0.3095069713374961,0.13926982820239894
fine_post,fine,degraded,36,18.53397,0.21793184130554896,0.28540762187307384,0.14970549532906285
fine_post,fine,degraded,37,19.04175,0.217049948692934,0.2905805097259784,0.14899965820138386
fine_post,fine,degraded,38,19.54953,0.237313723792178,0.29641115180418354,0.14903568931686123
fine_post,fine,degraded,39,20.05731,0.23463766799662897,0.27288159094520675,0.12625992424271604
fine_post,fine,degraded,40,20.56509,0.25377267521962515,0.30702598054642805,0.1361571746834449
fine_post,fine,degraded,41,21.07287,0.2750155026980472,0.28220197080262044,0.14926479751320695
fine_post,fine,degraded,42,21.580650000000002,0.2795695250813216,0.28555199482543486,0.146304530763677
fine_post,fine,degraded,43,22.08843,0.24404706955831693,0.30102766953602733,0.13726208747634217
fine_post,fine,degraded,44,22.596210000000003,0.20708088451170198,0.34912076002295556,0.11464020011433046
medium_post,medium,degraded,0,0.2506,0.2051264804167281,0.42763050395596836,0.12588123699772308
medium_post,medium,degraded,1,0.7517999999999999,0.2170228983406228,0.42290985838779954,0.12456375825183874
medium_post,medium,degraded,2,1.253,0.22913651571739807,0.398849349681393,0.11895854833161335
medium_post,medium,degraded,3,1.7541999999999998,0.23467292618801908,0.4008875333759235,0.12734087055874982
medium_post,medium,degraded,4,2.2554,0.24634717922256621,0.3764034780578898,0.13270645977689322
medium_post,medium,degraded,5,2.7565999999999997,0.22305098940160858,0.3946430619031238,0.11763344226579521
