anode,roi,seed,n_rounds,r_ni
medium,1,301,2,0.879332942713197
medium,1,301,3,0.8389724423254572
medium,1,301,4,0.7945181239752493
medium,1,301,5,0.7478198769156322
medium,1,301,6,0.7010783680254933
medium,1,301,7,0.6473593279698326
medium,1,301,8,0.5669191945940552
medium,1,301,9,0.5088978323927416
medium,1,301,10,0.0
medium,1,301,11,0.0
medium,1,301,12,0.0
medium,1,301,13,0.0
medium,1,301,14,0.0
medium,1,301,15,0.0
medium,1,301,16,0.0
medium,1,301,17,0.0
medium,1,301,18,0.0
medium,1,301,19,0.0
medium,1,301,20,0.0
medium,1,302,1,0.9139431876275624
medium,1,302,2,0.8793066288162816
medium,1,302,3,0.8389134590565241
medium,1,302,4,0.7942393750672482
medium,1,302,5,0.7478546647793507
medium,1,302,6,0.7011276508324279
medium,1,302,7,0.6545232864050256
medium,1,302,8,0.5783864786709698
medium,1,302,9,0.5091107965584545
medium,1,302,10,0.43551038088808286
medium,1,302,11,0.0
medium,1,302,12,0.0
medium,1,302,13,0.0
medium,1,302,14,0.0
medium,1,302,15,0.0
medium,1,302,16,0.0
medium,1,302,17,0.0
medium,1,302,18,0.0
medium,1,302,19,0.0
medium,1,302,20,0.0
medium,2,300,1,0.9237050598197497
medium,2,300,2,0.8880872753691723
medium,2,300,3,0.8466186936001501
medium,2,300,4,0.8008048054123426
medium,2,300,5,0.753097997553842
medium,2,300,6,0.7051706916488046
medium,2,300,7,0.6564908271566889
medium,2,300,8,0.3535868055962155
medium,2,300,9,0.0
medium,2,300,10,0.0
medium,2,300,11,0.0
medium,2,300,12,0.0
medium,2,300,13,0.0
medium,2,300,14,0.0
medium,2,300,15,0.0
medium,2,300,16,0.0
medium,2,300,17,0.0
medium,2,300,18,0.0
medium,2,300,19,0.0
medium,2,300,20,0.0
medium,2,301,1,0.9237420586445075
medium,2,301,2,0.8880730738000733
medium,2,301,3,0.846638251901453
medium,2,301,4,0.8009897995361319
medium,2,301,5,0.752516231521454
medium,2,301,6,0.7038525618011178
medium,2,301,7,0.6564721408815587
medium,2,301,8,0.6101422623498215
medium,2,301,9,0.0
medium,2,301,10,0.0
medium,2,301,11,0.0
medium,2,301,12,0.0
medium,2,301,13,0.0
medium,2,301,14,0.0
medium,2,301,15,0.0
medium,2,301,16,0.0
medium,2,301,17,0.0
medium,2,301,18,0.0
medium,2,301,19,0.0
medium,2,301,20,0.0
medium,2,302,1,0.9237200088398538
medium,2,302,2,0.8880396876551739
medium,2,302,3,0.8465948997431509
medium,2,302,4,0.8009841936535929
medium,2,302,5,0.7531287676202232
medium,2,302,6,0.7045897976425893
medium,2,302,7,0.6570326045602982
medium,2,302,8,0.610172409540365
medium,2,302,9,0.0
medium,2,302,10,0.0
medium,2,302,11,0.0
medium,2,302,12,0.0
medium,2,302,13,0.0
medium,2,302,14,0.0
medium,2,302,15,0.0
medium,2,302,16,0.0
medium,2,302,17,0.0
medium,2,302,18,0.0
medium,2,302,19,0.0
medium,2,302,20,0.0
coarse,0,300,1,0.8631968417119426
coarse,0,300,2,0.8290187162861561
coarse,0,300,3,0.7965498439864801
coarse,0,300,4,0.758194163518391
coarse,0,300,5,0.7211806036886617
coarse,0,300,6,0.6832195669283355
coarse,0,300,7,0.6175951090742795
coarse,0,300,8,0.5764896703076738
coarse,0,300,9,0.5340994457082082
coarse,0,300,10,0.0
coarse,0,300,11,0.0
coarse,0,300,12,0.0
coarse,0,300,13,0.0
coarse,0,300,14,0.0
coarse,0,300,15,0.0
coarse,0,300,16,0.0
coarse,0,300,17,0.0
coarse,0,300,18,0.0
coarse,0,300,19,0.0
coarse,0,300,20,0.0
coarse,0,301,1,0.8631244468851429
coarse,0,301,2,0.8289897820720051
coarse,0,301,3,0.7958277930440014
coarse,0,301,4,0.7581255633426275
coarse,0,301,5,0.6981046785319871
coarse,0,301,6,0.6566877226318798
coarse,0,301,7,0.609956417247021
coarse,0,301,8,0.576320986210831
coarse,0,301,9,0.5291247174911949
coarse,0,301,10,0.0
coarse,0,301,11,0.0
coarse,0,301,12,0.0
coarse,0,301,13,0.0
coarse,0,301,14,0.0
coarse,0,301,15,0.0
coarse,0,301,16,0.0
coarse,0,301,17,0.0
coarse,0,301,18,0.0
coarse,0,301,19,0.0
coarse,0,301,20,0.0
coarse,0,302,1,0.8631835011418935
coarse,0,302,2,0.8350884384927978
coarse,0,302,3,0.7957982659156262
coarse,0,302,4,0.7583275099274593
coarse,0,302,5,0.7210873975725854
coarse,0,302,6,0.6536786236516093
coarse,0,302,7,0.6098799906034954
coarse,0,302,8,0.5765114302597095
coarse,0,302,9,0.5293421391372837
coarse,0,302,10,0.0
coarse,0,302,11,0.0
coarse,0,302,12,0.0
coarse,0,302,13,0.0
coarse,0,302,14,0.0
coarse,0,302,15,0.0
coarse,0,302,16,0.0
coarse,0,302,17,0.0
coarse,0,302,18,0.0
coarse,0,302,19,0.0
coarse,0,302,20,0.0
coarse,1,300,1,0.8552780168723257
coarse,1,300,2,0.8190491824100503
coarse,1,300,3,0.7885282246861246
coarse,1,300,4,0.7549115501378432
coarse,1,300,5,0.7194483663510619
coarse,1,300,6,0.6830884929558777
coarse,1,300,7,0.6467268617904988
coarse,1,300,8,0.6106138133520224
coarse,1,300,9,0.5739238760760672
coarse,1,300,10,0.0
coarse,1,300,11,0.0
coarse,1,300,12,0.0
coarse,1,300,13,0.0
coarse,1,300,14,0.0
coarse,1,300,15,0.0
coarse,1,300,16,0.0
coarse,1,300,17,0.0
coarse,1,300,18,0.0
coarse,1,300,19,0.0
coarse,1,300,20,0.0
coarse,1,301,1,0.9277772485566439
coarse,1,301,2,0.889434610381731
coarse,1,301,3,0.7886607945801708
coarse,1,301,4,0.7548822350671752
coarse,1,301,5,0.7192946465124138
coarse,1,301,6,0.6829165149881096
coarse,1,301,7,0.6465155324512729
coarse,1,301,8,0.6105137905577122
coarse,1,301,9,0.5744774035806346
coarse,1,301,10,0.0
coarse,1,301,11,0.0
coarse,1,301,12,0.0
coarse,1,301,13,0.0
coarse,1,301,14,0.0
coarse,1,301,15,0.0
coarse,1,301,16,0.0
coarse,1,301,17,0.0
coarse,1,301,18,0.0
coarse,1,301,19,0.0
coarse,1,301,20,0.0
coarse,1,302,1,0.8449739112881733
coarse,1,302,2,0.8190633579761374
coarse,1,302,3,0.7884938631139295
coarse,1,302,4,0.7549205090956103
coarse,1,302,5,0.7193643902975622
coarse,1,302,6,0.6829886402683605
coarse,1,302,7,0.6466526952287313
coarse,1,302,8,0.6106807220239533
coarse,1,302,9,0.5736985412775474
coarse,1,302,10,0.0
coarse,1,302,11,0.0
coarse,1,302,12,0.0
coarse,1,302,13,0.0
coarse,1,302,14,0.0
coarse,1,302,15,0.0
coarse,1,302,16,0.0
coarse,1,302,17,0.0
coarse,1,302,18,0.0
coarse,1,302,19,0.0
coarse,1,302,20,0.0
coarse,2,300,1,0.889358154008162
coarse,2,300,2,0.8609042768570148
coarse,2,300,3,0.8278007133785423
coarse,2,300,4,0.7911513069624244
coarse,2,300,5,0.7526249717478734
coarse,2,300,6,0.7133582826770234
coarse,2,300,7,0.6656032862478665
coarse,2,300,8,0.6271187119795507
coarse,2,300,9,0.5681794569440412
coarse,2,300,10,0.0
coarse,2,300,11,0.0
coarse,2,300,12,0.0
coarse,2,300,13,0.0
coarse,2,300,14,0.0
coarse,2,300,15,0.0
coarse,2,300,16,0.0
coarse,2,300,17,0.0
coarse,2,300,18,0.0
coarse,2,300,19,0.0
coarse,2,300,20,0.0
coarse,2,301,1,0.8905946166189943
coarse,2,301,2,0.8609288255213557
coarse,2,301,3,0.8277555099759282
coarse,2,301,4,0.7911457200250227
coarse,2,301,5,0.7524545983739754
coarse,2,301,6,0.713105741819722
coarse,2,301,7,0.6653770999336621
coarse,2,301,8,0.6269302798180916
coarse,2,301,9,0.5681126394300646
coarse,2,301,10,0.0
coarse,2,301,11,0.0
coarse,2,301,12,0.0
coarse,2,301,13,0.0
coarse,2,301,14,0.0
coarse,2,301,15,0.0
coarse,2,301,16,0.0
coarse,2,301,17,0.0
coarse,2,301,18,0.0
coarse,2,301,19,0.0
coarse,2,301,20,0.0
coarse,2,302,1,0.8906477207411665
coarse,2,302,2,0.8608517370719538
coarse,2,302,3,0.8276318072811338
coarse,2,302,4,0.791073146272511
coarse,2,302,5,0.7526087188390682
coarse,2,302,6,0.7132226724691808
coarse,2,302,7,0.6653070656981513
coarse,2,302,8,0.6041228776339377
coarse,2,302,9,0.0
coarse,2,302,10,0.0
coarse,2,302,11,0.0
coarse,2,302,12,0.0
coarse,2,302,13,0.0
coarse,2,302,14,0.0
coarse,2,302,15,0.0
coarse,2,302,16,0.0
coarse,2,302,17,0.0
coarse,2,302,18,0.0
coarse,2,302,19,0.0
coarse,2,302,20,0.0
