tag,seed,mode,target_w_vox,phi_Ni,P_span,percolates,n_peaks,ws_n_regions_used,ws_d_volweighted_nm,d_cPSD_r50max_nm,neck_p10_nm,neck_p50_nm,n_nodes,n_edges,neck_intended_p10_nm,neck_intended_p50_nm
uniform target_w=8,0,uniform,8,0.2364087516878858,1.0,True,125,75,363.8940398897436,295.6294132291881,119.9999957179898,159.99999902760464,125,260,120.0,160.0
uniform target_w=8,1,uniform,8,0.2346289363908179,1.0,True,125,75,363.9044896099558,295.6294132291881,119.9999957179898,159.99999902760464,125,260,120.0,160.0
uniform target_w=8,2,uniform,8,0.2350584430459105,1.0,True,125,75,363.7931833346238,295.6294132291881,119.9999957179898,159.99999902760464,125,260,120.0,160.0
uniform target_w=8,3,uniform,8,0.23355592327353394,1.0,True,125,75,363.8428590938984,295.6294132291881,119.9999957179898,159.99999902760464,125,260,120.0,160.0
uniform target_w=8,4,uniform,8,0.2331565574363426,1.0,True,125,75,362.22652140759,295.6294132291881,119.9999957179898,159.99999902760464,125,260,120.0,160.0
uniform target_w=10,0,uniform,10,0.2921730324074074,1.0,True,125,75,392.29050795240386,310.4787008763055,159.99999902760464,200.00000233721948,125,260,160.0,200.0
uniform target_w=10,1,uniform,10,0.2896931966145833,1.0,True,125,75,392.5127165288918,310.4787008763055,159.99999902760464,200.00000233721948,125,260,160.0,200.0
uniform target_w=10,2,uniform,10,0.2905567310474537,1.0,True,125,75,392.3912014184002,310.4787008763055,159.99999902760464,200.00000233721948,125,260,160.0,200.0
uniform target_w=10,3,uniform,10,0.28807463469328703,1.0,True,125,75,392.3024045858383,310.4787008763055,159.99999902760464,200.00000233721948,125,260,160.0,200.0
uniform target_w=10,4,uniform,10,0.28765793788580246,1.0,True,125,75,390.37071140056975,310.4787008763055,159.99999902760464,200.00000233721948,125,260,160.0,200.0
uniform target_w=12,0,uniform,12,0.3646345727237654,1.0,True,125,75,424.5264972235449,297.3181346722674,200.00000233721948,239.9999914359796,125,260,200.0,240.0
uniform target_w=12,1,uniform,12,0.36129195601851855,1.0,True,125,75,424.5861412594075,297.3181346722674,200.00000233721948,239.9999914359796,125,260,200.0,240.0
uniform target_w=12,2,uniform,12,0.3635675877700617,1.0,True,125,75,425.140865492664,297.3181346722674,200.00000233721948,239.9999914359796,125,260,200.0,240.0
uniform target_w=12,3,uniform,12,0.35947898582175924,1.0,True,125,75,424.6151399230055,297.3181346722674,200.00000233721948,239.9999914359796,125,260,200.0,240.0
uniform target_w=12,4,uniform,12,0.35970278139467593,1.0,True,125,75,422.9644088765841,297.3181346722674,200.00000233721948,239.9999914359796,125,260,200.0,240.0
uniform target_w=14,0,uniform,14,0.4091827015817901,1.0,True,125,75,442.4379664663166,327.11862799014165,239.9999914359796,279.99999474559445,125,260,240.0,280.0
uniform target_w=14,1,uniform,14,0.4097614052854938,1.0,True,125,75,443.19917670196935,327.11862799014165,239.9999914359796,279.99999474559445,125,260,240.0,280.0
uniform target_w=14,2,uniform,14,0.41075906635802467,1.0,True,125,75,443.5739563611935,327.11862799014165,239.9999914359796,279.99999474559445,125,260,240.0,280.0
uniform target_w=14,3,uniform,14,0.40763572410300924,1.0,True,125,75,442.6391154960957,327.11862799014165,239.9999914359796,279.99999474559445,125,260,240.0,280.0
uniform target_w=14,4,uniform,14,0.4084917233314043,1.0,True,125,75,442.2955771107623,327.11862799014165,239.9999914359796,279.99999474559445,125,260,240.0,280.0
