mode,target_ratio,seed,intended_T_vox,iters,r_base_vox,r_final_vox,voxels_base,voxels_added_by_necks,voxels_removed_by_shrink,voxels_final,voxels_net_residual,phi_Ni_base,phi_Ni_final,P_span,percolates,n_clusters,n_peaks,ws_n_regions_used,ws_d_volweighted_nm,d_cPSD_r50max_nm,neck_p10_nm,neck_p50_nm,n_nodes,n_edges,achieved_ratio
lower_tail,2.5,0,4.9999999908837935,5,8.0,7.8359375,280356,5730,7314,278772,-1584,0.21125397858796297,0.21006040219907407,1.0,True,1,125,75,350.02665770968906,314.9603149604724,119.9999957179898,119.9999957179898,125,260,2.9999999111821576
lower_tail,2.5,1,8.999999987845058,1,8.0,1.0,276090,60391,39719,296762,20672,0.2080394603587963,0.22361623505015432,1.0,True,1,175,125,348.8714948994487,188.1780446036699,200.00000233721948,200.00000233721948,100,235,2.5000000444089214
lower_tail,2.5,2,4.9999999908837935,5,8.0,7.8359375,277399,5860,7286,275973,-1426,0.2090258186246142,0.20795129846643517,1.0,True,1,125,75,348.7980567872753,314.9603149604724,119.9999957179898,119.9999957179898,125,260,2.9999999111821576
lower_tail,2.5,3,4.9999999908837935,5,8.0,7.8359375,275063,6025,7402,273686,-1377,0.2072655948591821,0.2062279972029321,1.0,True,1,125,75,348.9888455812968,314.9603149604724,119.9999957179898,119.9999957179898,125,260,2.9999999111821576
lower_tail,2.5,4,4.9999999908837935,5,8.0,7.8359375,275605,5675,7378,273902,-1703,0.20767400294174382,0.20639075761959877,1.0,True,1,125,75,347.1536817669958,314.9603149604724,119.9999957179898,119.9999957179898,125,260,2.9999999111821576
uniform,1.5,0,0.9999999817675871,1,8.0,7.453125,280356,23873,21918,282311,1955,0.21125397858796297,0.2127271110628858,1.0,True,1,125,75,353.4620570831386,275.25386187315036,79.99999951380232,159.99999902760464,125,260,2.0
uniform,1.5,1,3.999999963535174,1,8.0,1.0,276090,127390,27402,376078,99988,0.2080394603587963,0.28338246286651236,1.0,True,1,157,107,388.0262536981106,279.3706455444952,155.26661201192843,200.00000233721948,86,218,1.9408326619444596
uniform,1.5,2,0.9999999817675871,1,8.0,7.453125,277399,23016,22235,278180,781,0.2090258186246142,0.2096143180941358,1.0,True,1,125,75,351.62482129870153,275.25386187315036,79.99999951380232,159.99999902760464,125,260,2.0
uniform,1.5,3,0.9999999817675871,1,8.0,7.453125,275063,22520,22931,274652,-411,0.2072655948591821,0.2069558979552469,1.0,True,1,125,75,351.9127489563631,275.25386187315036,79.99999951380232,159.99999902760464,125,260,2.0
uniform,1.5,4,0.9999999817675871,1,8.0,7.453125,275605,21992,22778,274819,-786,0.20767400294174382,0.20708173586998457,1.0,True,1,125,75,349.04995774749904,275.25386187315036,79.99999951380232,159.99999902760464,125,260,2.0
uniform,2.0,0,1.9999999756901161,1,8.0,1.0,280356,53668,51853,282171,1815,0.21125397858796297,0.21262161820023148,1.0,True,1,174,122,350.4198500378476,227.74065039326882,79.99999951380232,159.99999902760464,84,215,2.0
uniform,2.0,1,5.999999951380232,1,8.0,1.0,276090,198703,12851,461942,185852,0.2080394603587963,0.34808274257330246,1.0,True,1,151,101,416.40215276800063,270.2324650483083,200.00000233721948,239.9999914359796,96,231,2.5000000444089214
uniform,2.0,2,1.9999999756901161,1,8.0,1.0,277399,52597,51758,278238,839,0.2090258186246142,0.2096580222800926,1.0,True,1,177,125,345.7484382098686,227.74065039326882,79.99999951380232,159.99999902760464,85,216,2.0
uniform,2.0,3,1.9999999756901161,1,8.0,5.59375,275063,51006,50782,275287,224,0.2072655948591821,0.20743438343942902,1.0,True,1,135,85,357.1211843482042,227.21169643118995,79.99999951380232,159.99999902760464,118,254,2.0
uniform,2.0,4,1.9999999756901161,1,8.0,5.15625,275605,51405,51002,276008,403,0.20767400294174382,0.20797767168209877,1.0,True,1,141,91,351.8451672392411,217.1809134000868,79.99999951380232,159.99999902760464,113,248,2.0
uniform,2.5,0,2.999999969612645,1,8.0,1.0,280356,89883,35808,334431,54075,0.21125397858796297,0.2520005967881944,1.0,True,1,163,113,377.8318986799363,240.3845444487385,119.9999957179898,200.00000233721948,79,206,2.9999999111821576
uniform,2.5,1,7.99999993922529,1,8.0,1.0,276090,249180,6001,519269,243179,0.2080394603587963,0.3912798092689043,1.0,True,1,151,101,429.39685055012416,297.3181346722674,239.9999914359796,279.99999474559445,100,235,2.9999999111821576
uniform,2.5,2,2.999999969612645,1,8.0,1.0,277399,88295,34771,330923,53524,0.2090258186246142,0.24935724705825618,1.0,True,1,167,117,368.0215604350334,240.3845444487385,119.9999957179898,200.00000233721948,91,224,2.9999999111821576
uniform,2.5,3,2.999999969612645,1,8.0,1.0,275063,85661,39339,321385,46322,0.2072655948591821,0.24217016902970678,1.0,True,1,160,109,378.34405221818344,227.74065039326882,119.9999957179898,200.00000233721948,77,199,2.9999999111821576
uniform,2.5,4,2.999999969612645,1,8.0,1.0,275605,85676,37799,323482,47877,0.20767400294174382,0.24375030140817902,1.0,True,1,164,113,365.39398958196466,232.06271643706276,119.9999957179898,200.00000233721948,86,218,2.9999999111821576
