mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post,source
lower_tail,1.5,2,1.333333372807931,10,0.35,1,101,0.3169829963235294,0.1017173713235294,1.0,0.0,1.0,0.0,21.692325367647054,0.0206801470588235,1.0,1.0,0.0,0.0,0.0009533393358402,43435,486847,25006,689755,221337,pre-registered
lower_tail,1.5,2,1.333333372807931,10,0.35,1,102,0.3169829963235294,0.1013699448529411,1.0,0.0,1.0,0.0,21.692325367647054,0.01953125,1.0,1.0,0.0,0.0,0.0009003760394046,43435,487461,25148,689755,220581,pre-registered
lower_tail,1.5,3,1.333333372807931,2,0.35,1,100,0.3268740808823529,0.3098887867647059,1.0,1.0,1.0,1.0,20.832950367647054,89.45197610294117,1.0,1.0,1.0,1.0,4.293773782606298,45661,81682,939,711278,674318,pre-registered
lower_tail,1.5,3,1.333333372807931,2,0.35,1,101,0.3268740808823529,0.3098653492647059,1.0,1.0,1.0,1.0,20.832950367647054,89.78975183823529,1.0,1.0,1.0,1.0,4.309987315943308,45661,81712,960,711278,674267,pre-registered
lower_tail,1.5,3,1.333333372807931,2,0.35,1,102,0.3268740808823529,0.3100551470588235,1.0,1.0,1.0,1.0,20.832950367647054,89.81043198529412,1.0,1.0,1.0,1.0,4.310979981249655,45661,81268,991,711278,674680,pre-registered
lower_tail,1.5,3,1.333333372807931,5,0.35,1,100,0.3268740808823529,0.234446231617647,1.0,1.0,1.0,1.0,20.832950367647054,18.84650735294117,1.0,1.0,1.0,1.0,0.9046489825180608,45661,235475,11309,711278,510155,pre-registered
lower_tail,1.5,3,1.333333372807931,5,0.35,1,101,0.3268740808823529,0.2347780330882353,1.0,1.0,1.0,1.0,20.832950367647054,18.758042279411764,1.0,1.0,1.0,1.0,0.9004025809297965,45661,234731,11331,711278,510877,pre-registered
lower_tail,1.5,3,1.333333372807931,5,0.35,1,102,0.3268740808823529,0.2346521139705882,1.0,1.0,1.0,1.0,20.832950367647054,18.76148897058824,1.0,1.0,1.0,1.0,0.9005680251475211,45661,234881,11455,711278,510603,pre-registered
lower_tail,1.5,3,1.333333372807931,10,0.35,1,100,0.3268740808823529,0.1109099264705882,1.0,0.0,1.0,0.0,20.832950367647054,0.0160845588235294,1.0,1.0,0.0,0.0,0.000772073016048,45661,491731,23868,711278,241340,pre-registered
lower_tail,1.5,3,1.333333372807931,10,0.35,1,101,0.3268740808823529,0.1112959558823529,1.0,0.0,1.0,0.0,20.832950367647054,0.0149356617647058,1.0,1.0,0.0,0.0,0.0007169249434732,45661,491067,23692,711278,242180,pre-registered
lower_tail,1.5,3,1.333333372807931,10,0.35,1,102,0.3268740808823529,0.1106397058823529,1.0,0.0,1.0,0.0,20.832950367647054,0.0103400735294117,1.0,1.0,0.0,0.0,0.0004963326531737,45661,492183,24004,711278,240752,pre-registered
lower_tail,1.5,4,1.333333372807931,2,0.35,1,100,0.3271567095588235,0.3097996323529411,1.0,1.0,1.0,1.0,21.10753676470588,89.71507352941175,1.0,1.0,1.0,1.0,4.250381014587416,44565,81347,987,711893,674124,pre-registered
lower_tail,1.5,4,1.333333372807931,2,0.35,1,101,0.3271567095588235,0.309750919117647,1.0,1.0,1.0,1.0,21.10753676470588,90.11144301470588,1.0,1.0,1.0,1.0,4.269159590681472,44565,81516,924,711893,674018,pre-registered
lower_tail,1.5,4,1.333333372807931,2,0.35,1,102,0.3271567095588235,0.3098529411764706,1.0,1.0,1.0,1.0,21.10753676470588,90.40900735294116,1.0,1.0,1.0,1.0,4.2832571304158495,44565,81267,951,711893,674240,pre-registered
lower_tail,1.5,4,1.333333372807931,5,0.35,1,100,0.3271567095588235,0.2345863970588235,1.0,1.0,1.0,1.0,21.10753676470588,19.270450367647054,1.0,1.0,1.0,1.0,0.9129653821032006,44565,234832,11166,711893,510460,pre-registered
lower_tail,1.5,4,1.333333372807931,5,0.35,1,101,0.3271567095588235,0.2348653492647058,1.0,1.0,1.0,1.0,21.10753676470588,19.53929227941176,1.0,1.0,1.0,1.0,0.9257021554539516,44565,234224,11167,711893,511067,pre-registered
lower_tail,1.5,4,1.333333372807931,5,0.35,1,102,0.3271567095588235,0.2348221507352941,1.0,1.0,1.0,1.0,21.10753676470588,19.13717830882353,1.0,1.0,1.0,1.0,0.90665142608317,44565,234276,11209,711893,510973,pre-registered
lower_tail,1.5,4,1.333333372807931,10,0.35,1,100,0.3271567095588235,0.1110179227941176,1.0,0.0,1.0,0.0,21.10753676470588,0.0229779411764705,1.0,1.0,0.0,0.0,0.0010886131069018,44565,492004,22879,711893,241575,pre-registered
lower_tail,1.5,4,1.333333372807931,10,0.35,1,101,0.3271567095588235,0.1117794117647058,1.0,0.0,1.0,1.0,21.10753676470588,0.0068933823529411,1.0,1.0,0.0,1.0,0.0003265839320705,44565,491548,21678,711893,243232,pre-registered
lower_tail,1.5,4,1.333333372807931,10,0.35,1,102,0.3271567095588235,0.1115836397058823,1.0,0.0,1.0,0.0,21.10753676470588,0.0160845588235294,1.0,1.0,0.0,0.0,0.0007620291748312,44565,491474,22178,711893,242806,pre-registered
lower_tail,2.0,0,2.0,2,0.35,1,100,0.3298943014705882,0.3137334558823529,1.0,1.0,1.0,1.0,21.708409926470587,88.13648897058823,1.0,1.0,1.0,1.0,4.060015877216195,47918,82144,940,717850,682684,pre-registered
lower_tail,2.0,0,2.0,2,0.35,1,101,0.3298943014705882,0.313672794117647,1.0,1.0,1.0,1.0,21.708409926470587,88.4673713235294,1.0,1.0,1.0,1.0,4.075258004763165,47918,82355,861,717850,682552,pre-registered
lower_tail,2.0,0,2.0,2,0.35,1,102,0.3298943014705882,0.3139168198529412,1.0,1.0,1.0,1.0,21.708409926470587,88.56272977941177,1.0,1.0,1.0,1.0,4.079650701243716,47918,81827,858,717850,683083,pre-registered
lower_tail,2.0,0,2.0,5,0.35,1,100,0.3298943014705882,0.2378221507352941,1.0,1.0,1.0,1.0,21.708409926470587,18.753446691176467,1.0,1.0,1.0,1.0,0.8638793331569197,47918,237159,11108,717850,517501,pre-registered
lower_tail,2.0,0,2.0,5,0.35,1,101,0.3298943014705882,0.2379967830882353,1.0,1.0,1.0,1.0,21.708409926470587,19.202665441176467,1.0,1.0,1.0,1.0,0.8845726382640909,47918,236548,11339,717850,517881,pre-registered
lower_tail,2.0,0,2.0,5,0.35,1,102,0.3298943014705882,0.2378157169117647,1.0,1.0,1.0,1.0,21.708409926470587,18.43175551470588,1.0,1.0,1.0,1.0,0.84906059804181,47918,237003,11278,717850,517487,pre-registered
lower_tail,2.0,0,2.0,10,0.35,1,100,0.3298943014705882,0.1125183823529411,1.0,0.0,1.0,0.0,21.708409926470587,0.0091911764705882,1.0,1.0,0.0,0.0,0.0004233924318602,47918,497367,23561,717850,244840,pre-registered
lower_tail,2.0,0,2.0,10,0.35,1,101,0.3298943014705882,0.1130358455882352,1.0,0.0,1.0,0.0,21.708409926470587,0.0149356617647058,1.0,1.0,0.0,0.0,0.0006880127017729,47918,496989,22813,717850,245966,pre-registered
lower_tail,2.0,0,2.0,10,0.35,1,102,0.3298943014705882,0.1129007352941176,1.0,0.0,1.0,0.0,21.708409926470587,0.0183823529411764,1.0,1.0,0.0,0.0,0.0008467848637205,47918,497871,22225,717850,245672,pre-registered
lower_tail,2.0,1,1.937129432263008,2,0.35,1,100,0.324907169117647,0.3081355698529411,1.0,1.0,1.0,1.0,21.375229779411764,89.28193933823529,1.0,1.0,1.0,1.0,4.176887933351249,46440,82020,915,706998,670503,pre-registered
lower_tail,2.0,1,1.937129432263008,2,0.35,1,101,0.324907169117647,0.3079756433823529,1.0,1.0,1.0,1.0,21.375229779411764,89.64613970588235,1.0,1.0,1.0,1.0,4.193926363880677,46440,82403,880,706998,670155,pre-registered
lower_tail,2.0,1,1.937129432263008,2,0.35,1,102,0.324907169117647,0.3080252757352941,1.0,1.0,1.0,1.0,21.375229779411764,89.59673713235294,1.0,1.0,1.0,1.0,4.191615157215803,46440,82236,939,706998,670263,pre-registered
