mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post
base,1.0,3,1.0,10,0.35,1,101,0.3268065257352941,0.11128354779411764,1.0,0.0,1.0,0.0,20.99379595588235,0.014935661764705881,1.0,1.0,0.0,0.0,0.0007114321676790894,45679,490553,24104,711131,242153
base,1.0,3,1.0,10,0.35,1,102,0.3268065257352941,0.11091038602941176,1.0,0.0,1.0,0.0,20.99379595588235,0.011488970588235293,1.0,1.0,0.0,0.0,0.0005472555135992996,45679,491649,23820,711131,241341
base,1.0,4,1.0,2,0.35,1,100,0.32709742647058826,0.30968244485294116,1.0,1.0,1.0,1.0,21.216681985294116,89.98506433823529,1.0,1.0,1.0,1.0,4.241241132831537,44436,81339,992,711764,673869
base,1.0,4,1.0,2,0.35,1,101,0.32709742647058826,0.30962086397058824,1.0,1.0,1.0,1.0,21.216681985294116,90.43772977941175,1.0,1.0,1.0,1.0,4.262576487789029,44436,81521,944,711764,673735
base,1.0,4,1.0,2,0.35,1,102,0.32709742647058826,0.3097063419117647,1.0,1.0,1.0,1.0,21.216681985294116,90.67210477941177,1.0,1.0,1.0,1.0,4.273623219797477,44436,81335,944,711764,673921
base,1.0,4,1.0,5,0.35,1,100,0.32709742647058826,0.23455101102941175,1.0,1.0,1.0,1.0,21.216681985294116,19.31410845588235,1.0,1.0,1.0,1.0,0.9103265284020144,44436,234620,11197,711764,510383
base,1.0,4,1.0,5,0.35,1,101,0.32709742647058826,0.2348046875,1.0,1.0,1.0,1.0,21.216681985294116,19.50942095588235,1.0,1.0,1.0,1.0,0.919532138409054,44436,234069,11196,711764,510935
base,1.0,4,1.0,5,0.35,1,102,0.32709742647058826,0.23477481617647059,1.0,1.0,1.0,1.0,21.216681985294116,19.080882352941178,1.0,1.0,1.0,1.0,0.8993339470406673,44436,234048,11282,711764,510870
base,1.0,4,1.0,10,0.35,1,100,0.32709742647058826,0.11125367647058823,1.0,0.0,1.0,0.0,21.216681985294116,0.022977941176470586,1.0,1.0,0.0,0.0,0.001083012942004657,44436,491322,22790,711764,242088
base,1.0,4,1.0,10,0.35,1,101,0.32709742647058826,0.1117265625,1.0,0.0,1.0,0.0,21.216681985294116,0.006893382352941175,1.0,1.0,0.0,0.0,0.00032490388260139705,44436,490711,22372,711764,243117
base,1.0,4,1.0,10,0.35,1,102,0.32709742647058826,0.11181617647058824,1.0,0.0,1.0,0.0,21.216681985294116,0.014935661764705881,1.0,1.0,0.0,0.0,0.000703958412303027,44436,490832,22056,711764,243312
lower_tail,1.5,0,1.333333372807931,2,0.35,1,100,0.3299457720588235,0.3137973345588235,1.0,1.0,1.0,1.0,21.948529411764703,88.18359374999999,1.0,1.0,1.0,1.0,4.017744974874372,47965,82146,958,717962,682823
lower_tail,1.5,0,1.333333372807931,2,0.35,1,101,0.3299457720588235,0.31379090073529414,1.0,1.0,1.0,1.0,21.948529411764703,88.53285845588235,1.0,1.0,1.0,1.0,4.033657872696818,47965,82228,890,717962,682809
lower_tail,1.5,0,1.333333372807931,2,0.35,1,102,0.3299457720588235,0.3139457720588235,1.0,1.0,1.0,1.0,21.948529411764703,88.57996323529412,1.0,1.0,1.0,1.0,4.035804020100503,47965,81873,908,717962,683146
lower_tail,1.5,0,1.333333372807931,5,0.35,1,100,0.3299457720588235,0.2378377757352941,1.0,1.0,1.0,1.0,21.948529411764703,18.778722426470587,1.0,1.0,1.0,1.0,0.8555799832495813,47965,237165,11227,717962,517535
lower_tail,1.5,0,1.333333372807931,5,0.35,1,101,0.3299457720588235,0.23807123161764707,1.0,1.0,1.0,1.0,21.948529411764703,19.273897058823525,1.0,1.0,1.0,1.0,0.8781407035175879,47965,236612,11272,717962,518043
lower_tail,1.5,0,1.333333372807931,5,0.35,1,102,0.3299457720588235,0.23786305147058823,1.0,1.0,1.0,1.0,21.948529411764703,18.42830882352941,1.0,1.0,1.0,1.0,0.8396147403685092,47965,237047,11290,717962,517590
