mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post
lower_tail,1.5,0,1.333333372807931,6,0.35,1,102,0.3299457720588235,0.21093198529411764,1.0,1.0,1.0,1.0,21.948529411764703,7.275965073529411,1.0,1.0,1.0,1.0,0.33150125628140703,47965,292365,14574,717962,458988
lower_tail,1.5,0,1.333333372807931,7,0.35,1,100,0.3299457720588235,0.18459329044117648,1.0,1.0,1.0,1.0,21.948529411764703,2.297794117647059,1.0,1.0,1.0,1.0,0.10469011725293134,47965,346620,17632,717962,401675
lower_tail,1.5,0,1.333333372807931,7,0.35,1,101,0.3299457720588235,0.18474816176470588,1.0,1.0,1.0,1.0,21.948529411764703,2.5390625,1.0,1.0,1.0,1.0,0.11568257956448913,47965,346369,17546,717962,402012
lower_tail,1.5,0,1.333333372807931,7,0.35,1,102,0.3299457720588235,0.1845220588235294,1.0,1.0,1.0,1.0,21.948529411764703,2.3265165441176467,1.0,1.0,1.0,1.0,0.10599874371859297,47965,346856,17551,717962,401520
lower_tail,1.5,0,1.333333372807931,8,0.35,1,100,0.3299457720588235,0.15869025735294118,1.0,1.0,1.0,1.0,21.948529411764703,0.666360294117647,1.0,1.0,1.0,1.0,0.030360134003350085,47965,399364,21253,717962,345310
lower_tail,1.5,0,1.333333372807931,8,0.35,1,101,0.3299457720588235,0.15968933823529413,1.0,1.0,1.0,1.0,21.948529411764703,0.6433823529411764,1.0,1.0,1.0,1.0,0.02931323283082077,47965,399173,19270,717962,347484
lower_tail,1.5,0,1.333333372807931,8,0.35,1,102,0.3299457720588235,0.15932858455882354,1.0,1.0,1.0,1.0,21.948529411764703,0.6227022058823529,1.0,1.0,1.0,1.0,0.028371021775544392,47965,399861,19367,717962,346699
lower_tail,1.5,1,1.6142746033532454,6,0.35,1,100,0.3248855698529412,0.20482444852941176,1.0,1.0,1.0,1.0,21.490119485294116,7.104779411764706,1.0,1.0,1.0,1.0,0.3306067896284416,46418,292795,14876,706951,445698
lower_tail,1.5,1,1.6142746033532454,6,0.35,1,101,0.3248855698529412,0.2050045955882353,1.0,1.0,1.0,1.0,21.490119485294116,7.542509191176471,1.0,1.0,1.0,1.0,0.35097567495322113,46418,292466,14813,706951,446090
lower_tail,1.5,1,1.6142746033532454,6,0.35,1,102,0.3248855698529412,0.20450045955882354,1.0,1.0,1.0,1.0,21.490119485294116,7.342601102941176,1.0,1.0,1.0,1.0,0.3416733493718257,46418,293302,15074,706951,444993
lower_tail,1.5,1,1.6142746033532454,7,0.35,1,100,0.3248855698529412,0.17856847426470587,1.0,1.0,1.0,1.0,21.490119485294116,2.3368566176470584,1.0,1.0,1.0,1.0,0.10874097834803527,46418,347221,17583,706951,388565
lower_tail,1.5,1,1.6142746033532454,7,0.35,1,101,0.3248855698529412,0.17864613970588236,1.0,1.0,1.0,1.0,21.490119485294116,2.3701746323529407,1.0,1.0,1.0,1.0,0.1102913659449345,46418,347079,17556,706951,388734
lower_tail,1.5,1,1.6142746033532454,7,0.35,1,102,0.3248855698529412,0.17839154411764707,1.0,1.0,1.0,1.0,21.490119485294116,2.3104319852941173,1.0,1.0,1.0,1.0,0.10751136059877038,46418,347580,17609,706951,388180
